Country,Code,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper
Bangladesh,BGD,-0.72,0.12,11.00,27.09,22.66,31.03,-0.92,0.23,7.00,15.24,10.48,26.67,-0.74,0.21,10.00,23.56,12.98,37.02,-0.93,0.18,11.00,15.38,9.13,27.88,-0.64,0.15,13.00,27.88,19.23,39.90,-0.99,0.14,12.00,16.35,10.58,25.00
Bulgaria,BGR,0.38,0.12,11.00,60.59,52.71,65.52,0.54,0.23,8.00,66.19,53.81,79.05,0.34,0.20,9.00,65.38,52.40,74.04,0.53,0.18,10.00,71.15,62.98,74.52,0.04,0.14,13.00,54.81,47.12,61.06,-0.16,0.14,12.00,50.48,41.35,59.13
Bahrain,BHR,-1.41,0.14,6.00,9.85,4.93,16.26,-0.66,0.24,6.00,22.38,12.86,36.19,0.30,0.24,7.00,63.94,48.56,74.04,0.49,0.22,7.00,67.79,60.58,75.48,0.49,0.18,8.00,68.75,60.58,77.40,-0.01,0.19,6.00,56.73,44.23,63.46
"Bahamas, The",BHS,0.93,0.16,4.00,76.85,69.46,87.68,0.83,0.24,6.00,74.76,59.52,93.33,0.49,0.30,3.00,69.71,52.40,78.37,-0.05,0.24,5.00,52.88,35.10,64.42,0.08,0.19,5.00,56.73,46.63,64.90,1.18,0.19,5.00,84.13,79.81,89.90
Bosnia and Herzegovina,BIH,-0.20,0.13,10.00,38.92,34.98,44.83,-0.40,0.24,6.00,30.48,18.57,46.67,-0.63,0.23,8.00,28.85,14.90,40.38,-0.19,0.19,9.00,47.12,33.17,60.58,-0.23,0.14,12.00,46.63,34.62,53.85,-0.61,0.15,11.00,30.29,20.67,41.35
Belarus,BLR,-1.40,0.13,9.00,11.33,6.40,15.76,0.29,0.23,7.00,56.67,44.29,68.57,-0.18,0.23,7.00,44.23,31.73,60.58,-0.54,0.19,8.00,32.21,17.79,43.27,-0.79,0.14,11.00,21.63,14.42,30.77,-0.06,0.15,10.00,53.85,44.23,60.58
Belize,BLZ,0.53,0.16,5.00,63.55,55.67,72.91,0.07,0.25,5.00,50.00,34.76,60.95,-0.68,0.28,4.00,26.92,12.02,41.35,-0.54,0.22,6.00,31.73,15.87,47.12,-0.78,0.17,6.00,22.12,12.98,32.69,-0.20,0.19,5.00,48.56,34.13,59.62
Bermuda,BMU,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.08,0.31,2.00,88.10,66.19,98.10,1.36,0.46,1.00,87.98,73.08,99.52,0.85,0.49,1.00,75.48,57.21,94.23,0.85,0.50,1.00,78.85,54.33,92.31,1.23,0.41,1.00,87.50,70.19,95.19
Bolivia,BOL,-0.09,0.12,13.00,42.36,35.96,51.23,-0.62,0.23,7.00,23.33,13.81,38.57,-0.70,0.21,10.00,24.52,14.90,38.46,-0.99,0.18,10.00,12.50,8.17,24.52,-1.12,0.15,14.00,11.06,6.73,19.23,-0.74,0.13,13.00,25.96,16.83,33.65
Brazil,BRA,0.34,0.12,14.00,58.62,51.72,64.53,-0.55,0.23,8.00,24.76,14.76,41.43,-0.19,0.19,11.00,43.75,34.13,57.69,-0.18,0.17,11.00,48.08,34.62,59.62,-0.18,0.14,15.00,47.60,38.46,55.29,-0.33,0.13,15.00,42.31,32.69,51.44
