Country,Code,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper
French Guiana,GUF,1.29,0.27,1.00,92.61,73.89,100.00,0.28,0.27,3.00,56.19,41.43,70.48,1.39,0.33,2.00,89.90,76.92,98.08,1.31,0.36,2.00,87.98,74.04,99.04,1.17,0.21,2.00,85.58,77.40,89.90,0.92,0.29,2.00,80.77,66.83,88.94
Guam,GUM,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.79,0.31,2.00,73.33,55.71,94.29,0.27,0.46,1.00,62.98,34.62,79.81,0.08,0.49,1.00,58.65,23.08,75.96,1.34,0.50,1.00,87.98,69.71,100.00,1.23,0.41,1.00,87.50,70.19,95.19
Guyana,GUY,0.28,0.14,7.00,56.16,47.29,62.56,-0.24,0.24,6.00,38.57,22.86,53.81,-0.39,0.25,5.00,37.50,19.71,53.37,-0.62,0.20,7.00,28.85,14.42,40.87,-0.43,0.17,8.00,36.54,25.00,47.60,-0.09,0.16,8.00,51.92,41.35,60.58
"Hong Kong SAR, China",HKG,0.21,0.15,8.00,54.19,43.84,61.08,-0.27,0.24,7.00,36.67,22.38,53.33,1.74,0.23,7.00,96.15,87.98,99.52,1.98,0.22,8.00,99.52,93.27,100.00,1.60,0.16,9.00,91.83,87.98,96.15,1.67,0.16,9.00,92.31,88.94,95.19
Honduras,HND,-0.55,0.12,13.00,31.03,25.62,34.98,-0.53,0.23,7.00,27.14,15.24,41.90,-0.61,0.22,9.00,30.29,15.38,40.87,-0.49,0.18,9.00,34.13,19.71,46.63,-1.01,0.15,13.00,15.38,8.17,22.60,-0.81,0.14,13.00,23.08,14.90,30.29
Croatia,HRV,0.53,0.12,11.00,64.04,57.64,71.43,0.76,0.23,8.00,71.90,59.05,90.95,0.41,0.20,9.00,67.31,55.77,75.00,0.59,0.18,10.00,72.12,64.42,75.96,0.37,0.14,13.00,64.90,57.69,72.12,0.13,0.14,12.00,60.10,51.44,64.90
Haiti,HTI,-0.73,0.13,9.00,26.60,22.66,31.03,-0.78,0.24,6.00,19.52,11.90,30.95,-2.02,0.21,9.00,1.44,0.00,3.85,-1.26,0.19,9.00,8.65,4.33,14.90,-0.97,0.16,11.00,16.83,8.17,25.00,-1.34,0.16,10.00,8.17,2.40,12.98
Hungary,HUN,0.22,0.12,11.00,54.68,44.83,61.08,0.73,0.23,8.00,71.43,59.05,89.52,0.50,0.22,8.00,70.19,57.69,76.92,0.60,0.20,9.00,72.60,63.94,76.44,0.49,0.14,12.00,68.27,61.06,75.00,0.00,0.14,11.00,57.69,47.12,61.06
Indonesia,IDN,0.16,0.12,12.00,52.71,42.86,59.11,-0.48,0.23,8.00,28.10,16.67,43.33,0.18,0.20,10.00,60.10,45.67,70.67,-0.09,0.17,11.00,51.44,36.54,62.02,-0.34,0.15,13.00,42.31,28.37,50.48,-0.42,0.13,13.00,37.98,28.37,48.08
India,IND,0.29,0.12,12.00,57.64,49.75,62.56,-0.70,0.23,8.00,21.43,12.38,34.76,0.17,0.20,10.00,59.62,45.19,70.67,-0.16,0.17,11.00,48.56,35.10,60.58,-0.03,0.15,13.00,52.40,45.19,60.58,-0.23,0.13,13.00,47.60,35.10,55.77
Ireland,IRL,1.34,0.15,8.00,94.58,83.74,98.03,0.97,0.23,7.00,82.38,66.67,94.76,1.28,0.23,7.00,86.54,78.37,93.75,1.60,0.24,7.00,93.27,83.65,99.52,1.39,0.17,9.00,88.94,83.65,92.31,1.46,0.18,8.00,89.42,83.65,92.79
"Iran, Islamic Rep.",IRN,-1.37,0.13,10.00,12.32,6.90,16.26,-1.70,0.23,7.00,6.19,4.29,10.48,-0.55,0.23,8.00,32.21,15.38,44.23,-1.42,0.20,9.00,6.73,3.37,11.54,-0.75,0.16,11.00,24.04,14.90,33.65,-1.05,0.15,10.00,14.90,9.62,23.08
Iraq,IRQ,-0.95,0.13,10.00,22.66,16.26,26.11,-2.56,0.24,6.00,1.90,0.00,3.81,-1.34,0.22,8.00,9.62,3.37,15.38,-1.18,0.20,7.00,9.62,4.81,17.79,-1.72,0.17,10.00,3.85,0.96,5.29,-1.34,0.16,9.00,8.65,2.40,12.98
Iceland,ISL,1.33,0.15,7.00,94.09,83.74,98.03,1.66,0.23,7.00,99.52,93.81,100.00,1.52,0.23,6.00,92.31,83.65,97.60,1.37,0.24,7.00,89.90,77.88,96.15,1.77,0.17,8.00,95.19,89.90,100.00,1.71,0.18,7.00,92.79,88.94,96.15
Israel,ISR,0.69,0.15,8.00,70.44,61.08,75.37,-0.78,0.23,7.00,19.05,11.90,30.48,1.33,0.23,7.00,87.50,78.37,94.71,1.28,0.24,7.00,87.02,75.96,94.71,1.05,0.17,9.00,82.21,76.92,87.02,0.81,0.18,8.00,78.85,68.75,83.17
Italy,ITA,0.97,0.14,10.00,79.80,71.92,88.18,0.46,0.23,8.00,60.95,50.00,74.76,0.46,0.23,7.00,69.23,55.77,76.92,0.95,0.22,8.00,76.92,72.12,87.98,0.28,0.16,10.00,61.54,53.85,69.71,0.24,0.16,9.00,62.02,55.77,68.27
Jamaica,JAM,0.64,0.12,10.00,68.47,61.08,73.89,0.41,0.23,7.00,59.52,48.57,73.33,0.50,0.22,7.00,70.67,57.69,76.92,0.17,0.18,9.00,62.02,49.52,67.31,-0.31,0.15,11.00,44.23,30.77,50.96,-0.06,0.15,11.00,54.33,44.23,60.58
Jordan,JOR,-0.67,0.12,11.00,28.57,22.66,32.51,-0.36,0.23,8.00,33.33,20.00,48.10,0.10,0.20,10.00,56.73,41.35,68.27,0.03,0.17,11.00,57.21,42.31,64.42,0.14,0.15,13.00,58.17,50.48,64.90,0.13,0.14,12.00,60.58,51.44,64.90
Japan,JPN,0.96,0.14,10.00,78.33,71.43,87.68,1.04,0.23,8.00,85.71,68.57,96.19,1.59,0.23,7.00,93.75,85.58,99.52,1.33,0.22,8.00,88.46,77.40,94.71,1.54,0.16,10.00,90.38,86.54,95.67,1.48,0.15,10.00,89.90,85.10,92.79
Kazakhstan,KAZ,-1.21,0.12,11.00,14.78,8.87,21.18,-0.08,0.23,8.00,45.71,28.57,56.67,0.12,0.20,9.00,57.69,41.35,68.75,0.14,0.18,10.00,61.06,48.56,66.83,-0.43,0.14,13.00,36.06,27.40,46.63,-0.32,0.14,12.00,43.75,32.69,51.44
Kenya,KEN,-0.29,0.12,14.00,36.45,32.51,40.89,-1.12,0.23,7.00,12.38,8.57,20.00,-0.38,0.19,12.00,38.46,24.52,49.04,-0.28,0.16,11.00,41.35,31.25,53.85,-0.45,0.14,15.00,35.58,25.48,46.63,-0.78,0.14,15.00,24.52,15.87,31.73
Kyrgyz Republic,KGZ,-0.46,0.13,9.00,33.50,28.08,36.95,-0.41,0.25,5.00,30.00,18.10,46.67,-0.68,0.24,8.00,25.00,13.46,39.90,-0.35,0.19,9.00,38.46,26.92,53.37,-0.89,0.15,12.00,19.23,10.58,27.40,-0.95,0.15,11.00,17.31,11.06,26.44
Cambodia,KHM,-1.20,0.13,10.00,15.27,9.85,21.18,-0.08,0.24,6.00,46.19,28.10,58.57,-0.58,0.23,9.00,31.73,15.38,41.83,-0.57,0.19,10.00,30.29,17.31,42.31,-0.94,0.15,12.00,17.79,9.13,25.48,-1.30,0.15,12.00,9.62,2.88,12.98
Kiribati,KIR,1.12,0.23,1.00,85.22,71.43,96.06,1.20,0.35,2.00,93.33,67.62,99.52,-0.24,0.35,3.00,41.35,18.75,65.38,-0.62,0.29,4.00,28.37,11.54,49.52,0.74,0.31,3.00,75.96,61.06,86.06,0.37,0.32,3.00,65.38,50.00,79.81
St. Kitts and Nevis,KNA,0.84,0.21,2.00,73.89,62.56,87.68,0.73,0.28,4.00,70.95,55.71,92.38,0.54,0.46,1.00,72.60,41.35,86.54,0.50,0.36,2.00,69.23,51.44,82.21,0.48,0.33,2.00,67.31,50.96,81.25,0.39,0.26,2.00,66.35,54.33,78.85
"Korea, Rep.",KOR,0.77,0.12,11.00,72.91,65.02,79.80,0.48,0.23,8.00,61.43,50.48,75.24,1.38,0.22,8.00,88.46,79.81,95.67,1.07,0.20,9.00,82.21,74.52,89.90,1.19,0.16,11.00,86.06,79.33,89.42,0.76,0.14,11.00,76.92,68.75,81.25
Kuwait,KWT,-0.63,0.13,7.00,29.06,22.66,33.99,0.20,0.24,6.00,54.29,40.00,66.67,0.02,0.24,7.00,52.88,38.46,66.35,0.06,0.22,7.00,57.69,40.87,66.83,0.22,0.18,9.00,61.06,50.96,69.23,-0.13,0.18,7.00,50.96,37.50,60.58
Lao PDR,LAO,-1.80,0.14,7.00,3.94,0.99,6.90,0.53,0.25,5.00,64.76,52.38,79.52,-0.78,0.23,8.00,20.67,10.58,36.54,-0.71,0.20,9.00,23.56,11.54,36.54,-0.94,0.16,10.00,17.31,8.65,25.96,-1.06,0.17,9.00,13.46,7.69,24.52
Lebanon,LBN,-0.49,0.12,11.00,32.51,27.59,35.96,-1.64,0.23,7.00,7.62,4.29,11.43,-0.83,0.21,9.00,17.79,10.58,35.10,-0.43,0.18,10.00,36.54,23.08,49.52,-0.86,0.15,12.00,19.71,12.02,27.88,-1.16,0.14,12.00,12.02,7.21,17.79
Liberia,LBR,-0.03,0.12,13.00,44.33,36.95,52.71,-0.23,0.24,6.00,39.05,22.86,53.81,-1.38,0.21,10.00,8.65,2.88,14.90,-0.98,0.17,9.00,13.46,8.65,23.56,-1.00,0.15,13.00,16.35,8.17,23.56,-0.88,0.14,13.00,19.23,12.50,27.88
Libya,LBY,-1.46,0.13,9.00,7.88,4.93,14.29,-2.57,0.24,6.00,1.43,0.00,3.81,-1.92,0.21,8.00,1.92,0.48,5.29,-2.35,0.20,7.00,0.96,0.00,2.40,-1.85,0.17,9.00,1.92,0.48,5.29,-1.60,0.17,9.00,2.40,0.00,9.13
St. Lucia,LCA,0.93,0.21,2.00,76.35,65.52,90.64,0.93,0.28,4.00,79.52,60.95,96.19,0.23,0.35,2.00,62.02,38.94,75.00,0.23,0.25,4.00,62.98,47.60,73.08,0.57,0.26,4.00,71.63,58.17,80.29,0.52,0.24,3.00,69.23,60.58,80.29
Liechtenstein,LIE,1.26,0.17,3.00,90.15,79.80,97.04,1.63,0.25,4.00,99.05,93.33,100.00,1.70,0.33,2.00,94.71,84.13,100.00,1.54,0.32,3.00,91.83,81.25,99.52,1.68,0.21,2.00,92.79,87.02,100.00,1.97,0.29,2.00,95.67,89.90,100.00
Sri Lanka,LKA,-0.04,0.12,10.00,43.84,36.95,52.71,-0.23,0.23,7.00,39.52,23.33,53.81,-0.11,0.22,8.00,48.08,35.10,62.02,-0.18,0.18,10.00,47.60,34.62,59.62,-0.01,0.15,11.00,53.85,45.67,61.06,-0.32,0.14,10.00,44.23,32.21,51.92
Lesotho,LSO,0.03,0.13,10.00,46.80,38.92,55.17,-0.35,0.25,4.00,33.81,19.52,49.52,-0.83,0.21,9.00,18.27,10.58,34.62,-0.54,0.19,7.00,33.17,17.79,45.19,-0.38,0.16,11.00,40.38,27.40,49.04,-0.03,0.18,11.00,55.77,42.79,62.50
Lithuania,LTU,1.02,0.13,9.00,81.77,73.40,89.16,0.84,0.23,7.00,75.24,60.00,93.33,1.04,0.22,8.00,81.25,74.04,89.90,1.16,0.21,8.00,83.17,74.52,91.35,1.02,0.15,11.00,81.25,77.40,86.54,0.68,0.16,10.00,74.52,66.83,80.77
Luxembourg,LUX,1.52,0.16,7.00,96.55,90.64,100.00,1.36,0.23,7.00,95.71,82.38,99.52,1.73,0.23,7.00,95.67,87.50,99.52,1.70,0.24,7.00,95.19,87.50,99.52,1.79,0.17,8.00,95.67,89.90,100.00,2.11,0.18,7.00,98.08,93.75,100.00
Latvia,LVA,0.88,0.13,9.00,74.38,68.97,83.74,0.45,0.23,7.00,60.00,49.52,74.76,1.11,0.22,8.00,83.65,75.00,90.87,1.19,0.21,8.00,83.65,74.52,91.35,1.01,0.15,11.00,80.77,76.92,86.06,0.48,0.16,10.00,68.27,61.06,75.96
Kosovo,KSV,-0.13,0.14,6.00,40.89,34.98,51.23,-0.39,0.25,4.00,30.95,18.10,48.57,-0.35,0.26,5.00,39.42,20.67,55.77,-0.35,0.22,5.00,38.94,23.56,55.77,-0.39,0.16,8.00,39.90,27.40,48.56,-0.56,0.19,7.00,31.73,19.71,47.12
"Macao SAR, China",MAC,-0.30,0.27,1.00,35.96,26.11,51.23,1.25,0.32,2.00,93.81,70.95,99.52,1.17,0.33,2.00,85.10,73.08,94.71,1.63,0.32,3.00,94.23,82.21,99.52,0.92,0.21,3.00,79.33,71.63,86.54,0.70,0.25,3.00,75.00,63.46,83.65
Morocco,MAR,-0.63,0.12,13.00,29.56,24.14,33.99,-0.37,0.23,7.00,32.38,19.52,48.10,-0.12,0.19,12.00,47.60,36.06,60.58,-0.21,0.16,11.00,46.15,34.13,57.21,-0.14,0.14,15.00,48.56,41.35,56.73,-0.28,0.14,14.00,45.67,34.13,54.33
Monaco,MCO,0.68,0.23,1.00,69.95,57.64,81.77,1.59,0.40,2.00,98.10,79.52,100.00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Moldova,MDA,-0.09,0.12,10.00,42.86,35.96,51.23,-0.38,0.23,7.00,31.43,19.52,47.14,-0.38,0.22,8.00,37.98,23.56,51.44,0.01,0.18,10.00,55.77,40.87,64.42,-0.37,0.14,12.00,40.87,27.88,47.60,-0.62,0.14,11.00,29.81,21.15,39.90
Madagascar,MDG,-0.22,0.12,14.00,37.93,33.99,44.33,-0.25,0.23,7.00,37.62,22.86,53.33,-1.14,0.19,12.00,12.02,7.21,17.31,-0.73,0.16,11.00,22.60,12.02,34.62,-1.01,0.14,15.00,15.87,8.17,21.63,-1.01,0.14,15.00,15.87,10.10,23.56
Maldives,MDV,-0.44,0.19,4.00,33.99,25.62,40.89,0.01,0.29,3.00,48.10,28.57,61.90,-0.19,0.34,4.00,42.79,21.63,66.35,-0.48,0.29,4.00,34.62,14.42,54.81,-0.41,0.29,6.00,39.42,19.23,55.77,-0.26,0.27,5.00,46.15,26.44,60.58
Mexico,MEX,0.02,0.12,14.00,45.32,39.41,54.19,-0.71,0.23,8.00,20.95,12.38,34.76,-0.16,0.19,11.00,45.67,35.10,58.65,0.10,0.17,11.00,59.62,47.60,65.87,-0.66,0.14,15.00,27.40,18.75,37.02,-0.82,0.13,15.00,22.60,14.90,30.29
Marshall Islands,MHL,1.14,0.23,1.00,86.70,71.92,96.06,0.86,0.60,1.00,77.14,42.86,99.52,-1.47,0.49,2.00,6.73,0.48,27.40,-1.12,0.40,2.00,11.54,2.88,34.62,-0.03,0.36,3.00,51.92,27.88,71.15,-0.04,0.47,2.00,54.81,22.60,75.96
North Macedonia,MKD,0.00,0.13,9.00,44.83,38.42,54.19,-0.05,0.24,6.00,46.67,29.05,59.05,0.00,0.23,7.00,52.40,38.46,66.35,0.51,0.20,8.00,69.71,62.02,74.52,-0.24,0.14,11.00,46.15,34.13,53.85,-0.41,0.15,10.00,38.94,27.88,50.00
Mali,MLI,-0.41,0.12,13.00,34.48,30.05,38.42,-2.15,0.24,6.00,4.29,2.38,5.71,-1.06,0.19,12.00,13.94,8.65,22.60,-0.57,0.17,10.00,29.81,17.79,40.87,-0.83,0.15,14.00,20.19,12.50,27.88,-0.70,0.15,14.00,26.92,17.31,35.10
Malta,MLT,1.11,0.16,6.00,84.24,73.89,95.07,1.09,0.24,6.00,89.05,69.05,96.67,0.86,0.25,6.00,77.40,68.75,86.06,0.96,0.26,6.00,77.40,71.15,89.90,0.95,0.18,7.00,79.81,74.52,86.06,0.24,0.20,6.00,61.54,51.92,70.67
Myanmar,MMR,-0.84,0.12,11.00,23.65,19.70,29.06,-1.26,0.23,7.00,11.43,7.14,16.67,-1.15,0.22,9.00,11.54,5.77,20.67,-0.76,0.18,10.00,21.63,11.54,34.62,-1.06,0.16,12.00,12.98,6.73,20.67,-0.63,0.15,11.00,28.85,19.71,40.87
Mongolia,MNG,0.35,0.12,12.00,59.11,51.72,64.53,0.64,0.23,8.00,68.57,55.71,84.29,-0.19,0.20,11.00,42.31,33.17,57.69,-0.01,0.17,12.00,53.85,40.87,63.46,-0.27,0.15,14.00,45.67,32.21,52.40,-0.44,0.14,13.00,37.50,27.88,48.08
Montenegro,MNE,0.03,0.14,7.00,46.31,38.42,55.17,0.01,0.25,4.00,47.62,30.00,59.52,0.16,0.24,7.00,58.65,40.87,72.60,0.37,0.21,7.00,65.38,56.25,74.04,0.10,0.16,10.00,57.21,47.60,62.98,-0.03,0.17,9.00,55.29,44.23,62.02
Mozambique,MOZ,-0.51,0.12,12.00,31.53,27.59,35.47,-0.75,0.24,6.00,20.00,11.90,33.81,-0.82,0.19,11.00,18.75,12.02,34.13,-0.72,0.17,10.00,23.08,12.02,35.10,-1.02,0.15,13.00,14.90,7.69,21.63,-0.80,0.15,13.00,23.56,14.90,31.25
Mauritania,MRT,-0.78,0.13,10.00,25.12,21.18,30.05,-0.54,0.25,5.00,26.19,14.29,42.38,-0.50,0.20,9.00,34.62,17.31,45.19,-0.76,0.18,8.00,22.12,11.54,35.10,-0.58,0.16,11.00,28.85,19.71,42.79,-0.86,0.17,10.00,20.19,12.02,30.29
Martinique,MTQ,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.79,0.31,2.00,73.33,55.71,94.29,1.09,0.46,1.00,83.17,64.90,97.12,1.23,0.49,1.00,86.06,66.83,99.52,0.60,0.50,1.00,73.56,46.63,89.42,1.23,0.41,1.00,87.50,70.19,95.19
Mauritius,MUS,0.81,0.13,11.00,73.40,66.01,80.79,0.82,0.25,5.00,74.29,59.52,93.33,0.87,0.20,11.00,77.88,72.60,85.58,1.00,0.18,9.00,79.33,74.04,87.50,0.76,0.15,13.00,76.92,69.71,80.29,0.32,0.16,13.00,63.94,59.13,70.67
Malawi,MWI,-0.09,0.12,13.00,41.87,35.96,51.23,-0.27,0.24,6.00,37.14,22.38,53.33,-0.75,0.20,11.00,22.60,13.46,36.06,-0.70,0.17,10.00,24.52,13.46,36.06,-0.33,0.15,14.00,42.79,30.29,50.48,-0.78,0.14,14.00,24.04,15.38,32.69
Malaysia,MYS,-0.04,0.13,10.00,43.35,36.95,52.71,0.11,0.23,8.00,50.95,37.14,61.90,1.00,0.21,8.00,79.33,73.56,87.50,0.67,0.18,10.00,73.56,65.87,77.40,0.59,0.15,11.00,73.08,62.98,77.40,0.25,0.14,11.00,62.50,58.17,67.79
Namibia,NAM,0.54,0.12,12.00,64.53,58.13,71.43,0.53,0.24,6.00,65.71,53.81,79.52,0.10,0.19,11.00,56.25,41.35,66.83,-0.11,0.17,10.00,50.96,36.54,62.02,0.31,0.15,13.00,62.50,55.77,70.19,0.37,0.15,13.00,65.87,60.10,71.63
Niger,NER,-0.57,0.12,13.00,30.54,25.62,34.98,-1.40,0.24,6.00,9.52,5.71,13.33,-0.80,0.20,11.00,20.19,12.50,35.10,-0.67,0.17,9.00,26.44,14.42,36.54,-0.53,0.15,13.00,32.21,21.63,44.23,-0.55,0.15,13.00,32.21,23.08,44.23
Nigeria,NGA,-0.41,0.12,14.00,34.98,30.05,37.93,-1.93,0.23,7.00,5.24,2.86,8.10,-1.09,0.19,12.00,13.46,7.21,20.67,-0.86,0.16,11.00,17.79,9.62,29.33,-0.90,0.14,15.00,18.75,10.58,26.44,-1.09,0.14,15.00,12.98,9.13,19.23
Nicaragua,NIC,-1.08,0.12,13.00,19.21,13.79,22.66,-1.03,0.23,7.00,13.33,9.05,22.38,-0.77,0.22,9.00,21.63,12.50,36.54,-0.69,0.18,9.00,25.00,12.98,36.54,-1.18,0.15,13.00,9.62,6.25,17.79,-1.12,0.14,12.00,12.50,7.69,18.27
Niue,NIU,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Netherlands,NLD,1.56,0.14,9.00,97.54,95.07,100.00,0.86,0.23,8.00,75.71,61.90,93.33,1.80,0.23,7.00,96.63,89.90,99.52,1.86,0.22,8.00,98.08,91.35,100.00,1.81,0.16,10.00,96.15,90.38,100.00,2.00,0.16,9.00,96.63,92.79,100.00
Norway,NOR,1.69,0.14,10.00,100.00,96.06,100.00,1.19,0.23,8.00,92.38,73.33,97.62,1.86,0.24,6.00,97.60,90.87,100.00,1.80,0.22,7.00,97.12,90.38,100.00,1.98,0.16,9.00,99.52,92.79,100.00,2.07,0.16,8.00,97.12,93.75,100.00
Nepal,NPL,-0.13,0.13,10.00,40.39,34.98,49.26,-0.47,0.24,6.00,28.57,16.67,46.19,-1.05,0.23,9.00,14.90,7.21,26.92,-0.70,0.19,10.00,24.04,11.54,36.54,-0.54,0.15,12.00,31.73,21.63,44.71,-0.67,0.15,11.00,27.40,17.79,37.50
Nauru,NRU,0.63,0.23,1.00,67.98,55.17,80.79,0.86,0.60,1.00,77.14,42.86,99.52,-0.13,1.05,1.00,47.12,1.92,93.27,-0.03,1.07,1.00,53.37,2.88,96.15,-0.76,0.89,1.00,23.08,0.48,75.00,-0.45,0.94,1.00,36.06,0.00,83.17
New Zealand,NZL,1.57,0.14,10.00,98.03,95.07,100.00,1.51,0.23,8.00,97.14,90.95,99.52,1.67,0.23,7.00,94.23,86.54,99.52,1.88,0.22,8.00,99.04,91.35,100.00,1.88,0.16,10.00,97.60,92.31,100.00,2.17,0.16,9.00,100.00,95.19,100.00
Oman,OMN,-1.14,0.13,7.00,17.24,12.81,22.66,0.59,0.24,6.00,67.14,54.29,82.86,0.26,0.24,6.00,62.50,46.63,73.56,0.29,0.22,7.00,64.42,51.44,73.08,0.55,0.18,8.00,70.67,61.06,77.88,0.45,0.18,7.00,67.31,60.58,75.96
Pakistan,PAK,-0.84,0.12,11.00,23.15,19.21,28.57,-2.25,0.23,7.00,3.33,0.95,5.24,-0.68,0.21,10.00,25.96,14.90,39.42,-0.64,0.18,11.00,27.40,14.90,37.98,-0.67,0.15,13.00,26.44,17.79,37.98,-0.85,0.14,12.00,21.15,12.98,29.81
Panama,PAN,0.62,0.12,11.00,67.00,61.08,73.40,0.31,0.23,7.00,58.10,46.19,69.05,0.07,0.21,9.00,55.29,40.38,66.83,0.36,0.18,9.00,64.90,57.21,73.08,-0.12,0.15,13.00,50.48,41.35,57.69,-0.58,0.14,13.00,30.77,23.08,41.35
Palau,PLW,1.09,0.23,1.00,83.74,71.43,96.06,0.86,0.60,1.00,77.14,42.86,99.52,-0.05,1.05,1.00,51.44,1.92,93.75,-0.01,1.07,1.00,54.33,2.88,96.15,0.31,0.76,2.00,62.98,17.31,90.38,-0.45,0.94,1.00,36.06,0.00,83.17
Peru,PER,0.29,0.12,14.00,57.14,49.75,61.58,-0.14,0.23,8.00,42.38,27.14,54.76,-0.07,0.19,11.00,49.52,37.02,62.02,0.56,0.17,11.00,71.63,63.94,75.48,-0.49,0.14,15.00,33.17,25.00,45.67,-0.45,0.13,15.00,36.54,27.88,47.12
Philippines,PHL,0.03,0.12,12.00,47.29,39.90,55.17,-0.88,0.23,8.00,16.67,11.43,27.14,0.05,0.20,10.00,54.81,40.38,66.35,0.01,0.17,11.00,55.29,41.35,64.42,-0.48,0.15,13.00,34.13,25.00,46.15,-0.57,0.13,13.00,31.25,23.56,41.35
Papua New Guinea,PNG,0.07,0.13,8.00,49.26,39.90,57.14,-0.83,0.25,5.00,18.10,11.43,29.52,-0.81,0.24,7.00,19.71,10.10,36.54,-0.54,0.20,8.00,32.69,17.31,45.19,-0.80,0.17,9.00,21.15,12.50,32.21,-0.99,0.17,8.00,16.83,9.62,25.96
Poland,POL,0.70,0.12,11.00,70.94,61.58,74.88,0.52,0.23,8.00,64.29,53.81,78.10,0.60,0.20,9.00,73.08,62.50,78.37,1.01,0.18,10.00,81.25,74.04,87.50,0.45,0.14,13.00,66.35,61.06,74.52,0.60,0.14,12.00,71.15,65.87,78.85
Puerto Rico,PRI,0.50,0.27,1.00,62.56,47.78,77.34,0.12,0.27,3.00,53.33,34.76,66.19,-0.16,0.33,2.00,45.19,24.04,66.35,0.73,0.36,2.00,74.52,61.06,87.98,0.59,0.21,2.00,72.12,61.06,79.33,0.01,0.29,2.00,58.17,35.10,67.79
"Korea, Dem. Rep.",PRK,-2.19,0.13,7.00,0.00,0.00,1.97,-0.30,0.25,5.00,35.71,20.95,50.00,-1.40,0.27,5.00,7.69,1.92,15.38,-2.40,0.22,6.00,0.00,0.00,2.40,-1.65,0.19,7.00,4.81,1.44,6.73,-1.59,0.18,6.00,2.88,0.00,9.62
Portugal,PRT,1.24,0.14,10.00,89.16,80.79,96.06,1.13,0.23,8.00,90.95,71.43,96.67,1.15,0.23,7.00,84.13,75.00,92.31,0.97,0.22,8.00,77.88,72.60,88.46,1.14,0.16,10.00,84.62,78.85,88.94,0.76,0.16,9.00,77.40,68.75,81.25
Paraguay,PRY,0.08,0.13,12.00,49.75,40.89,57.14,0.00,0.24,6.00,47.14,30.48,59.05,-0.53,0.21,10.00,33.17,17.31,41.83,-0.20,0.19,9.00,46.63,33.17,59.62,-0.56,0.15,13.00,31.25,20.67,44.23,-0.83,0.14,12.00,22.12,12.98,30.29
Qatar,QAT,-1.29,0.13,9.00,13.79,6.90,19.21,0.70,0.23,7.00,70.00,58.57,88.57,0.71,0.22,7.00,75.00,65.38,81.73,0.68,0.21,8.00,74.04,64.42,81.25,0.73,0.17,9.00,75.48,66.35,80.29,0.85,0.17,8.00,79.33,70.67,83.65
Réunion,REU,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.25,0.39,1.00,55.71,30.48,78.10,1.09,0.46,1.00,83.17,64.90,97.12,1.23,0.49,1.00,86.06,66.83,99.52,0.85,0.50,1.00,78.85,54.33,92.31,0.62,0.41,1.00,72.60,54.33,88.46
Romania,ROM,0.49,0.12,11.00,61.58,56.16,70.44,0.53,0.23,8.00,65.24,53.81,78.10,-0.28,0.20,9.00,40.38,29.81,54.81,0.46,0.18,10.00,67.31,62.02,74.52,0.36,0.14,13.00,64.42,57.69,71.63,-0.13,0.14,12.00,51.44,41.35,59.62
Russian Federation,RUS,-1.10,0.12,11.00,18.23,13.30,22.66,-0.54,0.23,8.00,25.71,15.24,41.43,0.15,0.20,9.00,58.17,43.75,69.23,-0.43,0.18,10.00,36.06,23.08,49.52,-0.72,0.14,13.00,25.00,16.83,32.69,-0.83,0.14,12.00,21.63,13.46,30.29
Rwanda,RWA,-1.08,0.13,11.00,18.72,13.79,22.66,0.12,0.25,5.00,52.38,35.71,64.29,0.19,0.20,10.00,60.58,46.15,70.67,0.08,0.18,9.00,58.17,45.19,65.87,0.08,0.15,12.00,56.25,47.60,62.98,0.56,0.17,11.00,70.67,63.46,78.85
Samoa,WSM,0.75,0.22,2.00,71.92,60.59,83.74,1.12,0.29,3.00,90.48,68.57,98.10,0.44,0.35,3.00,68.75,45.67,79.81,-0.22,0.29,4.00,45.19,24.52,63.46,1.08,0.31,3.00,83.17,71.15,90.87,0.64,0.32,3.00,73.08,59.62,83.65
